Domain,Industry,GPTBot Allowed,llms.txt Present,AEO Ready Score
stripe.com,SaaS,true,true,100
vercel.com,SaaS,true,true,100
github.com,Tech,false,true,50
notion.so,SaaS,true,true,100
figma.com,SaaS,false,false,10
slack.com,SaaS,true,true,100
hubspot.com,SaaS,true,true,100
salesforce.com,Enterprise,true,true,100
atlassian.com,Enterprise,true,true,100
zoom.us,SaaS,true,false,60
shopify.com,E-commerce,true,true,100
wordpress.org,Tech,false,true,50
canva.com,SaaS,false,false,10
airtable.com,SaaS,true,false,60
zendesk.com,SaaS,true,true,100
monday.com,SaaS,true,true,100
intercom.com,SaaS,true,true,100
webflow.com,SaaS,true,false,60
typeform.com,SaaS,true,true,100
zapier.com,SaaS,true,true,100
loom.com,SaaS,false,true,50
linear.app,SaaS,true,true,100
clickup.com,SaaS,true,true,100
asana.com,SaaS,true,true,100
miro.com,SaaS,true,false,60
mailchimp.com,SaaS,true,true,100
semrush.com,SEO,true,true,100
ahrefs.com,SEO,true,false,60
moz.com,SEO,false,false,10
neilpatel.com,SEO,true,false,60
amazon.com,E-commerce,false,false,10
ebay.com,E-commerce,false,false,10
walmart.com,E-commerce,true,false,60
target.com,E-commerce,true,true,100
etsy.com,E-commerce,true,false,60
bestbuy.com,E-commerce,true,false,60
homedepot.com,E-commerce,true,false,60
nike.com,E-commerce,true,false,60
adidas.com,E-commerce,true,false,60
zara.com,E-commerce,true,false,60
asos.com,E-commerce,true,false,60
wayfair.com,E-commerce,true,false,60
chewy.com,E-commerce,true,false,60
nytimes.com,Media,false,false,10
bbc.com,Media,false,false,10
cnn.com,Media,false,false,10
techcrunch.com,Media,false,false,10
theverge.com,Media,false,false,10
wired.com,Media,true,false,60
forbes.com,Media,false,false,10
bloomberg.com,Media,false,false,10
businessinsider.com,Media,true,false,60
medium.com,Media,false,false,10
substack.com,Media,true,false,60
